Allegany,Maryland,Allegany Elections,301-777-5931,www.gov.allconet.org/elections/election_home.htm,ocd-division/country:us/state:md/county:allegany
Anne Arundel,Maryland,Anne Arundel Elections,410-222-6600,www.aacounty.org/elections,ocd-division/country:us/state:md/county:anne_arundel
Baltimore City,Maryland,Baltimore City Elections,410-396-5550,www.baltimorecity.gov/government/elections/index.html,""
Baltimore County,Maryland,Baltimore County Elections,410-887-5700,http://www.baltimorecountymd.gov/Agencies/elections/index.html,ocd-division/country:us/state:md/county:baltimore
Calvert,Maryland,Calvert Elections,410-535-2214,http://www.co.cal.md.us/index.aspx?nid=154,ocd-division/country:us/state:md/county:calvert
Caroline,Maryland,Caroline Elections,410-479-8145,http://www.carolinemdelections.org/,ocd-division/country:us/state:md/county:caroline
Carroll,Maryland,Carroll Elections,410-386-2080,http://ccgovernment.carr.org/ccg/electionboard,ocd-division/country:us/state:md/county:carroll
Cecil,Maryland,Cecil Elections,410-996-5310,http://www.ccgov.org/election_bd/index.cfm,ocd-division/country:us/state:md/county:cecil
Charles,Maryland,Charles Elections,301-934-8972,www.CharlesCounty.org/boe/,ocd-division/country:us/state:md/county:charles
Dorchester,Maryland,Dorchester Elections,410-228-2560,http://dorcomdelections.org/,ocd-division/country:us/state:md/county:dorchester
Frederick,Maryland,Frederick Elections,301-600-8683,www.FrederickCountyMD.gov/elections,ocd-division/country:us/state:md/county:frederick
Garrett,Maryland,Garrett Elections,301-334-6985,http://garrettcounty.org/board-of-elections,ocd-division/country:us/state:md/county:garrett
Harford,Maryland,Harford Elections,410-638-3565,http://www.harfordvotes.info/,ocd-division/country:us/state:md/county:harford
Howard,Maryland,Howard Elections,410-313-5820,voter registration,ocd-division/country:us/state:md/county:howard
Kent,Maryland,Kent Elections,410-778-0038,www.kentcountyelections.org,ocd-division/country:us/state:md/county:kent
Montgomery,Maryland,Montgomery Elections,240-777-8500,www.777vote.org/,ocd-division/country:us/state:md/county:montgomery
Prince George's,Maryland,Prince George's Elections,301-341-7300,http://www.princegeorgescountymd.gov/sites/elections,ocd-division/country:us/state:md/county:prince_george~s
Queen Anne's,Maryland,Queen Anne's Elections,410-758-0832,www.qacelections.com/,ocd-division/country:us/state:md/county:queen_anne~s
St Mary's,Maryland,St Mary's Elections,301-475-7844,www.co.saint-marys.md.us/supervisorofelections/,ocd-division/country:us/state:md/county:st_mary~s
Somerset,Maryland,Somerset Elections,410-651-0767,http://www.co.somerset.md.us/elections.html,ocd-division/country:us/state:md/county:somerset
Talbot,Maryland,Talbot Elections,410-770-8099,http://www.talbotcountymd.gov/index.php?page=Election_Board,ocd-division/country:us/state:md/county:talbot
Washington,Maryland,Washington Elections,240-313-2050,www.washco-md.net/election/elect1.html,ocd-division/country:us/state:md/county:washington
Wicomico,Maryland,Wicomico Elections,410-548-4830,http://www.wicomicocounty.org,ocd-division/country:us/state:md/county:wicomico
